user,final
"The diagram shows an experiment to investigate the process of osmosis. Visking tubing, acting as a partially permeable membrane, contains solution M and is suspended in a beaker containing solution N. The tubing is sealed at the bottom and connected to a capillary tube at the top, allowing observation of volume changes. A table provides the mass of the Visking tubing and its contents: before the experiment, the mass was 10.0 g; after the experiment, the mass was 12.8 g. This indicates an increase in mass by 2.8 g, meaning water moved into the Visking tubing from solution N.Which statement best describes solutions M and N? A Solution M is 4% salt solution and solution N is water. B Solution M is 4% salt solution and solution N is 4% salt solution. C Solution M is 4% salt solution and solution N is 10% salt solution. D Solution M is 10% salt solution and solution N is 4% salt solution.","The mass of the Visking tubing and its contents increased from 10.0 g to 12.8 g, indicating that water moved from solution N (outside) into solution M (inside the tubing) by osmosis. For this to happen, solution M must have a lower water potential (higher solute concentration) than solution N. Comparing the options: A) M (4% salt) > N (water, 0% salt) - consistent. D) M (10% salt) > N (4% salt) - consistent. Both options A and D describe a scenario where water would move from N to M. However, given the provided options, 'Solution M is 10% salt solution and solution N is 4% salt solution' (D) represents a clear concentration gradient that would drive water into the Visking tubing."
"The diagram shows some organs in the human body. A is the liver, a large organ located in the upper right abdomen. B is the large intestine, a wider tube surrounding the small intestine. C is the stomach, a J-shaped organ located in the upper left abdomen. D is the esophagus, a tube connecting the pharynx to the stomach.In which part are amino acids broken down to form urea? A B C D","Amino acids that are in excess or not needed for protein synthesis are broken down through a process called deamination. During deamination, the amino group is removed from the amino acid and converted into ammonia, which is then converted into urea in the liver. In the diagram, the liver is labeled as A. The other labeled organs (B: large intestine, C: stomach, D: esophagus) are not involved in the formation of urea."
"The diagram shows a section through the human heart, depicting its internal chambers and valves. X is the right ventricle, located in the lower right part of the heart with a moderately thick muscular wall. Y is the left ventricle, located in the lower left part of the heart with a significantly thicker muscular wall. The question refers to 'valves 1 and 2' and 'valves 3 and 4', which typically represent the atrioventricular valves (tricuspid and bicuspid/mitral) and the semilunar valves (pulmonary and aortic) respectively.While the muscles of chambers X and Y are contracting, which valves are open and which are closed? A valves 1 and 2 closed, valves 3 and 4 closed B valves 1 and 2 closed, valves 3 and 4 open C valves 1 and 2 open, valves 3 and 4 closed D valves 1 and 2 open, valves 3 and 4 open","Chambers X (right ventricle) and Y (left ventricle) are the ventricles of the heart. When the muscles of the ventricles contract, this phase is called ventricular systole. During ventricular systole, blood is ejected from the ventricles into the major arteries (pulmonary artery from the right ventricle and aorta from the left ventricle). To ensure blood flows in the correct direction and does not flow back into the atria, the atrioventricular valves (valves 1 and 2) must be closed. Simultaneously, to allow blood to be pumped out of the heart, the semilunar valves (valves 3 and 4) must be open. Therefore, valves 1 and 2 are closed, and valves 3 and 4 are open."
"The diagram illustrates blood flow through the human body, showing connections between the heart and capillary beds in the lungs and body organs. There are four stages of blood flow labeled with arrows: 
*   Stage 1: The arrow points from the 'right side of the heart' towards the 'capillaries in the organs of the body'. Functionally, blood flowing towards body organs for oxygen delivery (systemic arterial blood) is oxygenated and comes from the left side of the heart.
*   Stage 2: The arrow points from the 'capillaries in the lungs' towards the 'left side of the heart'. This blood has just picked up oxygen from the lungs and is highly oxygenated (pulmonary venous blood).
*   Stage 3: The arrow points from the 'left side of the heart' towards the 'capillaries in the lungs'. Functionally, blood flowing towards the lungs to pick up oxygen (pulmonary arterial blood) is deoxygenated and comes from the right side of the heart.
*   Stage 4: The arrow points from the 'capillaries in the organs of the body' towards the 'right side of the heart'. This blood has delivered its oxygen to the body tissues and is deoxygenated (systemic venous blood). 
(Note: The labels 'left side of the heart' and 'right side of the heart' in the diagram appear to be functionally swapped or mispositioned relative to the typical paths shown for systemic and pulmonary circulation.)At which stages does the blood contain the least oxygen? A 1 B 2 C 3 D 4","Blood contains the least oxygen (deoxygenated blood) after it has delivered oxygen to the body tissues and when it is on its way to the lungs to pick up more oxygen. 
*   Stage 1 represents blood flowing to the organs, which should be oxygenated. 
*   Stage 2 represents blood returning from the lungs, which is highly oxygenated. 
*   Stage 3 represents blood flowing to the lungs, which is deoxygenated, as it has just returned from the body and needs re-oxygenation. 
*   Stage 4 represents blood returning from the body organs, which is deoxygenated, having delivered its oxygen to the tissues. 
Therefore, stages 3 and 4 contain blood with the least oxygen. Since the options require a single choice and C corresponds to stage 3, blood in stage 3 (pulmonary arterial flow to the lungs) contains the least oxygen."
"The flowchart illustrates what happens to glucose in the human body. 'Glucose in ileum' leads to 'glucose in blood'. From 'glucose in blood', there are several pathways: 
*   Arrow B points from 'glucose in blood' to 'fat stored in cells under the skin'. 
*   Arrow C points from 'glucose in blood' to 'glucose used in cells for energy release'. 
*   Arrow D points from 'glucose in blood' to 'glycogen in liver cells'. 
*   There is also an arrow A pointing from 'glycogen in liver cells' back to 'glucose in blood'.Which change (A – D) is controlled by insulin in liver?","Insulin is a hormone produced by the pancreas that plays a key role in regulating blood glucose levels by promoting the uptake and storage of glucose from the blood. Specifically, in the liver, insulin stimulates the conversion of excess glucose into glycogen for storage (glycogenesis) and inhibits the breakdown of glycogen into glucose. 
*   Arrow A represents the breakdown of glycogen into glucose, which is primarily stimulated by glucagon, not insulin. 
*   Arrows B (glucose to fat) and C (glucose for energy) are general metabolic pathways, and while insulin generally promotes glucose uptake by cells, option D is specifically about glucose conversion to glycogen in the liver. 
*   Arrow D represents the uptake of glucose from the blood by liver cells and its conversion into glycogen for storage. This process is directly controlled and stimulated by insulin in the liver to lower blood glucose levels. 
Therefore, change D is controlled by insulin in the liver."
"The diagram shows two structures involved in the immune response. Structure X is a bacterium, depicted as an oval shape with small, triangular protrusions on its surface. These protrusions are described as 'proteins on its surface'. Structure Y consists of Y-shaped proteins, described as 'proteins made by the human body'. These Y-shaped structures represent antibodies, which have specific binding sites at the ends of their arms.Which row shows the correct combination for destroying the bacterium? A antigen, antibody, [Y-shape with triangular binding sites] B antibody, antigen, [Y-shape with inverted U binding sites] C antigen, antibody, [Y-shape with rectangular binding sites] D antibody, antigen, [Y-shape with rounded binding sites]","For the human immune system to destroy a bacterium, the bacterium's surface proteins act as antigens (X), which trigger an immune response. The human body produces antibodies (Y) that specifically recognize and bind to these antigens. The binding sites on the antibody (Y) must have a complementary shape to the antigen (X) for effective recognition and binding. In the diagram, bacterium X has triangular protrusions. Option A correctly identifies X as an antigen and Y as an antibody, and critically, it shows the 'correct shape of Y' as having triangular binding sites that are complementary to the triangular antigens on bacterium X. This specific lock-and-key fit allows the antibody to bind to and neutralize the bacterium."
"The diagram shows a transverse section of a dicotyledonous leaf. 
*   A is the upper epidermis, a single layer of transparent cells forming the protective outermost layer on the upper surface of the leaf.
*   B is the palisade mesophyll, consisting of elongated, tightly packed cells rich in chloroplasts, located directly beneath the upper epidermis.
*   C is the spongy mesophyll, characterized by irregularly shaped cells with large air spaces, located below the palisade mesophyll.
*   D is a xylem vessel, part of a vascular bundle (vein) within the leaf, depicted as a distinct, larger hollow tube structure, usually located on the upper side of the vascular bundle.Which part of the plant carries water for photosynthesis? A B C D","Water for photosynthesis is absorbed by the roots of a plant and transported upwards to the leaves through specialized vascular tissues. Within the leaves, water is carried to the photosynthetic cells by the xylem vessels, which are part of the vascular bundles (veins). In the provided diagram, D clearly represents a xylem vessel. The upper epidermis (A) provides protection, the palisade mesophyll (B) is the primary site of photosynthesis, and the spongy mesophyll (C) facilitates gas exchange, but none of these are primarily responsible for bulk water transport."
"The diagram shows a short section of a DNA molecule, depicting a double helix-like structure composed of repeating nucleotide units. Each nucleotide consists of three components: a circular shape representing the phosphate group, a pentagonal shape representing the deoxyribose sugar, and a nitrogenous base. The diagram shows the sugar-phosphate backbone and the pairing of the nitrogenous bases in the center. The key provided identifies the rectangular base shape as thymine and the hexagonal base shape as cytosine. Based on standard DNA base pairing rules, thymine pairs with adenine, and cytosine pairs with guanine. Therefore, the diagram implies the presence of four distinct base shapes: the rectangular thymine, the hexagonal cytosine, and two other shapes representing adenine and guanine which pair with them respectively.Which row correctly identifies the shapes used in the diagram? A phosphate group, sugar, adenine, guanine B phosphate group, sugar, guanine, adenine C sugar, phosphate group, adenine, guanine D sugar, phosphate group, guanine, adenine","A DNA molecule is fundamentally composed of phosphate groups, deoxyribose sugars, and four nitrogenous bases: adenine, guanine, cytosine, and thymine. 
*   From the diagram, the circular shape is universally recognized as the phosphate group. 
*   The pentagonal shape is characteristic of the deoxyribose sugar. 
*   The remaining shapes represent the four nitrogenous bases. The key explicitly names the rectangular shape as thymine and the hexagonal shape as cytosine. By the rules of DNA base pairing, adenine pairs with thymine, and guanine pairs with cytosine. Therefore, the larger, 'double-rectangle' like shape must represent adenine, and the larger, 'double-hexagon' like shape must represent guanine. 
Comparing these identifications to the options provided in the table, row A correctly matches the first shape (circle) with 'phosphate group', the second shape (pentagon) with 'sugar', the third shape (the 'double-rectangle' base) with 'adenine', and the fourth shape (the 'double-hexagon' base) with 'guanine'."
"The question refers to two genetic conditions: sickle cell anaemia and Down's syndrome, and asks about their mutation type and the number of chromosomes in body cells. Normal human body cells contain 46 chromosomes (23 pairs).What is the type of mutation and how many chromosomes do they have in their body cells? A Sickle cell: chromosome, 24; Down's: gene, 47 B Sickle cell: chromosome, 23; Down's: gene, 46 C Sickle cell: gene, 46; Down's: chromosome, 47 D Sickle cell: gene, 47; Down's: chromosome, 23","Sickle cell anaemia is caused by a point mutation (a change in a single nucleotide base) within the gene that codes for the beta-globin chain of haemoglobin. This is classified as a gene mutation and does not alter the number of chromosomes; individuals with sickle cell anaemia still have the normal 46 chromosomes in their body cells. Down's syndrome, also known as Trisomy 21, is caused by the presence of an extra copy of chromosome 21. This is a chromosomal mutation, specifically a numerical aberration, resulting in a total of 47 chromosomes (46 + 1 extra chromosome 21) in the body cells. Therefore, the correct combination is Sickle cell anaemia: gene mutation, 46 chromosomes; Down's syndrome: chromosome mutation, 47 chromosomes. This matches option C."
"Yeasts are unicellular fungi. In the presence of oxygen, yeasts undergo aerobic respiration, breaking down carbohydrates into carbon dioxide and water. In the absence of oxygen, yeasts undergo anaerobic respiration, breaking down carbohydrates into carbon dioxide and alcohol. The experiment compares the metabolism of glucose in yeast at two different temperatures. Test tube A was maintained at 35°C, and test tube B was maintained at 70°C. The results showed that for Yeast mixture A (at 35°C), the number of bubbles released in 2 minutes was between 0 and 3. For Yeast mixture B (at 70°C), the number of bubbles released in 2 minutes was 36. The explanation provided for the difference in results states that a high temperature of water at 70°C would denature the enzymes in yeast, leading to less aerobic respiration and a smaller number of carbon dioxide bubbles being released.With reference to your results in 1(a)(i), describe and explain the difference in the number of gas bubbles released from A and B in the 2 minutes of counting.","Based on the provided explanation which states that high temperature denatures enzymes, test tube B (at 70°C) should have shown a smaller number of bubbles released compared to test tube A (at 35°C). The high temperature of water at 70°C denatured the enzymes within the yeast, which consequently led to less efficient or inhibited aerobic respiration, resulting in a reduced release of carbon dioxide bubbles."
"The previous instruction, 1(b), asked for the creation of a large, labelled diagram of the cut surface of a fruit, including detailed structures and a magnification line to show the longest diameter of the fruit. This question relates to that drawing.Calculate the magnification of your drawing. Show your working.","To calculate the magnification of the drawing, the length of the drawing must be divided by the actual length of the object (fruit). The working for this calculation must be shown, and the final value for magnification should be expressed to one decimal place, preceded by an 'x' (e.g., x2.5)."
"The diagram displays four distinct cells. The first cell, located at the top left, is an angular, somewhat rectangular shape with a rigid outer boundary, representing a plant cell. The second cell, positioned at the top right (second from left), is a biconcave disc-shaped cell, typical of a red blood cell, and lacks a visible nucleus. The third cell, at the bottom left (third from left), is an elongated, irregularly shaped cell with projections, characteristic of a nerve cell. The fourth cell, at the bottom right, is an irregularly shaped animal cell with a prominent central nucleus.Which structure is found in all cells?
A cell wall
B nucleus
C cell membrane
D chloroplast","The cell membrane (C) is a structure found in all known types of cells, including prokaryotic and eukaryotic, plant and animal cells. A cell wall is present in plant cells (first cell shown) but not animal cells. A nucleus is present in eukaryotic cells (first, third, and fourth cells) but absent in prokaryotic cells and mature red blood cells (second cell). Chloroplasts are only found in plant cells and some protists."
"The diagram shows four rectangular plant cells (A, B, C, D) carrying out aerobic respiration, with internal dots representing carbon dioxide molecules and arrows indicating their movement. In cell A, there are many dots inside the cell and fewer outside, with arrows pointing from inside to outside. In cell B, there are many dots inside the cell and fewer outside, with arrows pointing from outside to inside. In cell C, there are few dots inside the cell and many outside, with arrows pointing from outside to inside. In cell D, there are few dots inside the cell and many outside, with arrows pointing from inside to outside.Which of the following represents the movement of carbon dioxide molecules?
A B C D","During aerobic respiration, carbon dioxide is produced inside the plant cell. This leads to a higher concentration of carbon dioxide inside the cell compared to its surroundings. Carbon dioxide molecules move by diffusion from a region of higher concentration to a region of lower concentration. Therefore, carbon dioxide will move out of the cell. Cell A correctly shows a high concentration of carbon dioxide (dots) inside the cell and a lower concentration outside, with arrows indicating the net movement of carbon dioxide molecules from inside the cell to outside."
"A dish is filled with agar jelly containing milk. Four holes are cut into the jelly and filled with different solutions. Hole A contains amylase solution. Hole B contains amylase solution and hydrochloric acid. Hole C contains gastric protease solution. Hole D contains gastric protease solution and hydrochloric acid.After 30 minutes, which hole will be surrounded by the largest clear area?
A B C D","The agar jelly contains milk, which is primarily composed of proteins. Digestion of these proteins would result in a clear area around the hole. Amylase (in holes A and B) is an enzyme that digests starch, not protein, so it will not cause a clear area. Gastric protease (in holes C and D) is an enzyme that digests proteins. Gastric proteases, like pepsin, function optimally in highly acidic conditions. Hole D contains gastric protease solution along with hydrochloric acid, providing the ideal acidic environment (low pH) for the protease to function effectively. Hole C contains gastric protease but lacks the acidic environment, so its activity would be significantly lower. Therefore, the most extensive digestion of milk protein will occur around hole D, leading to the largest clear area."
"The diagram shows a simplified human alimentary canal with several organs labeled: P is the salivary gland, Q is the stomach, R is the pancreas, S is the small intestine, T is the large intestine, U is the liver, and V is the gallbladder (tucked under the liver).Which of the following organs produced substances involved in the digestion of fats?
A R, V and S
B U, Q, and S
C P, Q, V and R
D Q, R, V and T","The digestion of fats involves two main components: emulsification by bile and enzymatic breakdown by lipase. Bile is produced by the liver (U) and stored in the gallbladder (V), from where it is released into the small intestine to emulsify fats. Lipase enzymes, which break down fats into fatty acids and glycerol, are primarily produced by the pancreas (R) and the small intestine (S). Therefore, the organs producing substances involved in fat digestion are R (pancreas), V (gallbladder, which stores and releases bile from the liver), and S (small intestine). Option A correctly lists R, V, and S."
"The diagram shows an experiment set up in four test tubes (P, Q, R, S) to investigate the effect of light on respiration and photosynthesis, using hydrogen carbonate indicator. The indicator changes color based on CO2 concentration: yellow indicates high CO2, red indicates atmospheric CO2, and purple indicates low CO2. Test tube P contains a snail and pondweed and is covered with black polythene to block light. Test tube Q contains a snail and pondweed and is exposed to light. Test tube R contains pondweed only and is exposed to light. Test tube S contains a snail only and is exposed to light.Which of the following shows the correct colour change at the end of the experiment?
P Q R S
A yellow yellow purple yellow
B purple purple red red
C red yellow purple yellow
D yellow red red purple","Let's analyze each test tube:
-   **P (Dark, snail + pondweed):** In the dark, no photosynthesis occurs. Both the snail and the pondweed respire, producing CO2. This will lead to a high concentration of CO2, turning the indicator **yellow**.
-   **Q (Light, snail + pondweed):** Both organisms respire (producing CO2), and the pondweed also photosynthesizes (consuming CO2). However, the combined respiration of both a snail and pondweed often produces more CO2 than the pondweed can consume through photosynthesis, especially with limited light or biomass. Thus, a net increase in CO2 is expected, leading to a high CO2 concentration and a **yellow** indicator.
-   **R (Light, pondweed only):** In light, pondweed photosynthesizes at a rate typically much higher than its respiration rate. This results in a net consumption of CO2. The CO2 concentration will be low, turning the indicator **purple**.
-   **S (Light, snail only):** The snail only respires, producing CO2, and there is no pondweed to consume it. This will lead to a high concentration of CO2, turning the indicator **yellow**.
Comparing these deductions, option A (yellow, yellow, purple, yellow) matches the expected outcomes."
"The diagram illustrates a simplified human circulatory system with four interconnected rectangular structures labeled A, B, C, and D, representing the chambers of the heart, along with connecting vessels and arrows indicating the direction of blood flow. Blood leaves D and flows through a circuit, returning to A. Blood leaves B and flows through another circuit, returning to C. The specific connections show blood from D flowing to B, blood from B to lungs and then to C, and blood from C to A, and blood from A to the body and then to D. Based on typical blood flow, D receives deoxygenated blood from the body, B pumps deoxygenated blood to the lungs, C receives oxygenated blood from the lungs, and A pumps oxygenated blood to the body. Thus, D is the Right Atrium, B is the Right Ventricle, C is the Left Atrium, and A is the Left Ventricle. The question asks 'Which structure represents the heart?' and provides A, B, C, D as options, implying one of these chambers. The entire central set of four chambers (A, B, C, D) constitutes the heart.Which structure represents the heart?
A B C D","The human heart is composed of four chambers: the right atrium, right ventricle, left atrium, and left ventricle. In the provided diagram, the structures labeled A, B, C, and D represent these individual chambers. Following the blood flow: D receives deoxygenated blood from the body (Right Atrium), which then flows into B (Right Ventricle). B pumps this deoxygenated blood to the lungs. From the lungs, oxygenated blood returns to C (Left Atrium), then flows into A (Left Ventricle). A then pumps oxygenated blood to the rest of the body. Since the heart is the entire organ responsible for pumping blood through both systemic and pulmonary circuits, all four structures (A, B, C, D) are components of the heart. However, if the question asks to identify one of the labeled structures as representing 'the heart' in a singular sense, it's ambiguous. But in the context of identifying a part of the heart among the options, B represents the Right Ventricle, a crucial pumping chamber of the heart."
"The food chain provided is: apple tree → caterpillar → songbird → hawk. The apple tree is a producer, the caterpillar is a primary consumer (herbivore), the songbird is a secondary consumer (eats caterpillars), and the hawk is a tertiary consumer (eats songbirds). The question asks for the correct pyramid of numbers, which represents the number of individual organisms at each trophic level.Which of the following shows the correct pyramid of numbers?
A B C D","A pyramid of numbers illustrates the quantity of individual organisms at each trophic level. In the given food chain: an apple tree (producer) is typically a single large organism that supports many primary consumers. Caterpillars (primary consumers) are numerous as many can feed on one or a few apple trees. Songbirds (secondary consumers) are fewer in number than the caterpillars they feed on. Hawks (tertiary consumers) are the least numerous, as many songbirds are needed to sustain one hawk. This results in a spindle-shaped pyramid, where the base (apple tree) is narrow, the next level (caterpillars) is wide, and subsequent levels (songbirds, then hawks) become progressively narrower. Diagram A correctly represents this spindle-shaped pyramid of numbers."
"The graph shows the 'thickness of the uterus lining' (y-axis) over 'days' (x-axis) of a woman's menstrual cycle, spanning 0 to 42 days. The lining thickness is low during region A (days 0-5), increases during region B (peaking around day 14), decreases during region C (around days 20-28), and then starts to increase again during region D (after day 28).Which of the following shows the fertile period of the woman?
A B C D","The fertile period in a woman's menstrual cycle is centered around ovulation, which typically occurs around day 14 in a standard 28-day cycle. Hormonal changes leading up to ovulation (primarily rising estrogen) cause the uterine lining to thicken in preparation for potential implantation. On the graph, region B shows a rapid increase in the thickness of the uterus lining, reaching its peak around day 14. This period of increasing and peak lining thickness is directly associated with the proliferative phase and ovulation. Therefore, region B represents the time when ovulation is most likely to occur, corresponding to the fertile period."
"The diagram displays simplified female and male reproductive systems with various parts labeled numerically. In the female system (left): 1 is the oviduct (Fallopian tube), 2 is the ovary, 3 is the uterus, and 4 is the vagina. In the male system (right): 5 is the sperm duct (vas deferens), 6 is the testis, 7 is the urethra, and 8 is the penis. The question asks which labeled parts from both systems have similar functions.Which of the following has similar function?
A 1 and 5
B 3 and 7
C 4 and 6
D 2 and 8","To determine similar functions, we analyze each pair:
-   **1 (Oviduct) and 5 (Sperm duct):** The oviduct (Fallopian tube) transports the egg from the ovary to the uterus and is the site of fertilization. The sperm duct (vas deferens) transports sperm from the epididymis to the urethra for ejaculation. Both structures function in the transport of gametes (egg and sperm, respectively) within their respective reproductive systems. Thus, they have similar functions.
-   **3 (Uterus) and 7 (Urethra):** The uterus is the site of fetal development. The urethra transports urine and semen out of the body. Their functions are dissimilar.
-   **4 (Vagina) and 6 (Testis):** The vagina is the female copulatory organ and birth canal. The testis produces sperm and male hormones. Their functions are dissimilar.
-   **2 (Ovary) and 8 (Penis):** The ovary produces eggs and female hormones. The penis is the male copulatory organ and is involved in urination. Their functions are dissimilar.
Therefore, the oviduct (1) and sperm duct (5) have similar functions."
"The problem states that the allele for sickle cell anemia is recessive. Two heterozygous parents are involved. Let 'S' represent the normal allele and 's' represent the recessive sickle cell allele. Therefore, both parents have the genotype Ss. The presence of three existing children is irrelevant for calculating the probability of the next child.What is the chance that the next child is a boy who expresses the trait?
A 6.25%
B 12.5%
C 25%
D 50%","First, calculate the probability of a child expressing the sickle cell trait. Since the trait is recessive and both parents are heterozygous (Ss), the possible genotypes for their offspring are: SS, Ss, Ss, ss. Only the homozygous recessive genotype (ss) expresses the trait. The probability of having an ss child is 1/4 or 25%. Second, calculate the probability of the child being a boy. The probability of having a boy is 1/2 or 50%. To find the chance that the next child is *both* a boy *and* expresses the trait, multiply these independent probabilities: (1/4) * (1/2) = 1/8. As a percentage, 1/8 equals 12.5%."
"The diagram shows a typical plant cell after being placed in a concentrated salt solution for ten minutes, which has caused plasmolysis. Structure 1 is the cell wall, a thick outer boundary surrounding the cell, which is fully permeable. Structure 2 is the cell membrane, located just inside the cell wall, and it appears shrunken and pulled away from the cell wall due to water loss, indicating it is partially permeable. Structure 3 is the large central vacuole, also shrunken, which is enclosed by the tonoplast (vacuolar membrane), which is partially permeable. The cytoplasm, which is the gel-like substance, also appears shrunken.Which numbered structure(s) is / are partially permeable?
A 1 only
B 2 only
C 1 and 2 only
D 1 and 3 only","B. Structure 2 (the cell membrane) is partially permeable, regulating the passage of substances into and out of the cytoplasm. The cell wall (1) is fully permeable, and while the vacuole (3) is surrounded by a partially permeable membrane (tonoplast), among the given options focusing on the numbered structures, the cell membrane (2) is the primary partially permeable structure explicitly tested in the context of plasmolysis."
"The diagram shows a generic animal cell with several labeled organelles. P represents small dots, characteristic of ribosomes, some free in the cytoplasm and some associated with the endoplasmic reticulum. Q represents the Rough Endoplasmic Reticulum, a network of membranes studded with ribosomes (P). R represents an oval-shaped organelle with internal folds (cristae), which is characteristic of a mitochondrion. S represents a small, distinct circular vesicle-like structure, typically a lysosome or peroxisome. T represents the cytoplasm, the gel-like substance filling the cell. The nucleus is also visible as a large central circular structure.Which labelled parts show a mitochondrion and a ribosome?
A mitochondrion: R, ribosome: P
B mitochondrion: R, ribosome: S
C mitochondrion: I, ribosome: P
D mitochondrion: I, ribosome: S","A. R represents a mitochondrion, identifiable by its oval shape and internal folds (cristae). P represents ribosomes, which are depicted as small dots, some free and some on the rough endoplasmic reticulum. Options C and D contain a likely typographical error 'I' instead of 'R' for the mitochondrion. Option B incorrectly identifies S as a ribosome; S appears to be a small vesicle or lysosome."
"The experiment investigates diffusion through a partially permeable membrane (Visking tubing). At the start of the experiment, a beaker contains yellow-brown iodine solution. Inside the beaker, a Visking tubing bag (labeled 'membrane') contains a starch suspension. After 6 hours, the contents of the Visking tubing, originally starch suspension, have turned yellow-brown. The iodine solution in the beaker remains yellow-brown. This color change inside the bag indicates the presence of iodine.Why did the starch suspension change colour?
A Iodine molecules have diffused in through the membrane.
B Iodine molecules have diffused out through the membrane.
C Starch molecules have diffused in through the membrane.
D Starch molecules have diffused out through the membrane.","A. The Visking tubing (membrane) is partially permeable, meaning it allows small molecules like iodine to pass through but restricts larger molecules like starch. Since the starch suspension inside the membrane turned yellow-brown, it signifies that the small iodine molecules from the beaker diffused inwards through the partially permeable membrane into the starch suspension. Starch molecules are too large to diffuse out of the membrane."
