context_text,question_text,answer_text
"Figure 7.2 shows a longitudinal wave on a spring, with beads initially 1 cm apart. The wave shows regions of compression and rarefaction. Visually, a full wavelength spans 8 beads in their undisturbed state, or 8 cm. The maximum displacement of a bead from its original 1 cm grid line is approximately 0.8 cm.","From Fig. 7.2, determine the wavelength and the amplitude of the wave.",wavelength = 8.0 cm. [1 mark] amplitude = 0.8 cm. [1 mark]
"Figure 8.1 shows an electric iron with a label '220 V, 1100 W'. It has a heating element, shiny material, and a metal case. The diagram shows the connection points for live wire, neutral wire, and earth wire. The earth wire is connected to the metal case. A mains supply needs to be connected to the iron, including a fuse and a switch. The connection points are: live wire (top left), neutral wire (middle left), earth wire (bottom left).","In Fig. 8.1, draw suitable wires to connect the electric iron to the mains supply, including a fuse and a switch for the electric iron. Label them.","The drawing should show: Live wire, Neutral wire, Earth wire, Switch, and Fuse clearly labelled. The fuse should be placed on the live wire. The live wire connects via the switch and fuse to the iron's live terminal. The neutral wire connects directly to the iron's neutral terminal. The earth wire connects directly to the iron's earth terminal (metal case). [3 marks]"
"Figure 9.1 shows two electromagnets, P-Q with an iron core, and R-S with a steel core. When both switches S1 and S2 are closed, ends Q and R repel.","When both switches S1 and S2 are closed, ends Q and R will repel. What are the polarities of ends Q and R?",Both end Q and end R have North poles. [1 mark]
"Figure 9.1 shows two electromagnets: P-Q with an iron core, and R-S with a steel core. When switches S1 and S2 are open, no current flows through the coils.","When both switches are open, state and explain what will be observed.","Q will be attracted to R. When the switches are open, the steel core is permanently magnetized but the iron core loses its magnetism. [2 marks]"
"Figure 10.1 shows a manual car park barrier, which is a beam pivoted at a point. The beam is horizontal. To the left of the pivot, at a distance of 0.5 m, a downward force of 2000 N is applied. The weight of the barrier beam itself is 550 N, acting downwards at its center of gravity, which is located 1.6 m to the right of the pivot. A rope is attached to the right end of the beam, at a distance of (1.6 m + 1.4 m) = 3.0 m from the pivot. This rope exerts an upward tension force (T) to keep the beam horizontal.",The weight of the barrier beam is 550 N and acts at 1.6 m to the right of the pivot. Calculate the tension needed in the rope in order to keep the beam horizontal.,Anticlockwise moments = clockwise moments. (2000)(0.5) = T(3.0) + (550)(1.6). 1000 = 3.0 T + 880. T = 40 N. [3 marks]
"From part (a), the barrier beam is balanced horizontally by an anticlockwise moment of 1000 Nm (from 2000 N force) and two clockwise moments: 880 Nm (from beam weight) and 120 Nm (from rope tension).",Describe and explain what will happen if the rope is suddenly detached from the metal ring.,"If the rope is suddenly detached, the anticlockwise moment is greater than clockwise moment. The barrier will turn anticlockwise. [2 marks]"
"Figure 10.2 shows two cones, Cone X and Cone Y, made of wood and metal. Cone X has a metal base and a wood top. Cone Y has a wood base and a metal top. Figure 10.3 shows these cones tilted by a force. The center of gravity (CG) of an object is where its weight effectively acts. For a composite object, the CG is closer to the denser material.","In Fig. 10.3, mark a possible position for the centre of gravity by 'x' and draw an arrow to show the weight for both cone X and cone Y.","For Cone X (metal base, wood top), the centre of gravity ('x') should be located low, closer to the metal base. An arrow pointing vertically downwards from 'x' should be drawn to represent its weight. For Cone Y (wood base, metal top), the centre of gravity ('x') should be located high, closer to the metal top. An arrow pointing vertically downwards from 'x' should be drawn to represent its weight. [1 mark: 1/2 mark for each cone, correctly marking CG with 'x' and drawing a downward arrow for weight]"
"From part (c), Cone X has its center of gravity (CG) located low, closer to its metal base. Figure 10.3 shows Cone X tilted by a force.","Using your answer for (c), explain why cone X is in a state of stable equilibrium.","When the force is released, the weight that acts on a lower centre of gravity falls within the base. An anticlockwise turning effect will bring it back to its original position. [2 marks]"
"From part (c), Cone Y has its center of gravity (CG) located high, closer to its metal top. Figure 10.3 shows Cone Y tilted by a force.","Using your answer for (c), explain why cone Y is in a state of unstable equilibrium.","When the force is released, the weight that acts on a higher centre of gravity will fall outside the base. A clockwise turning effect that will topple it. [2 marks]"
"Figure 11.1 shows a ray of light traveling from air into a rectangular glass block (ABCD). The ray enters the block from air at surface AB. The angle of refraction (r) inside the glass block, measured from the normal, is 25°. The refractive index of glass is given as 1.58.","Given that the refractive index is 1.58, calculate the angle of incidence, i.",1.58 = sin i° / sin 25°. i = sin⁻¹(1.58 x sin 25°) = 41.9°. [2 marks]
"Figure 11.1 shows a ray of light entering a rectangular glass block from air at surface AB with an angle of incidence i = 41.9° and refracting to an angle r = 25°. This refracted ray then travels through the glass block and hits the opposite parallel surface CD. Since the glass block is rectangular and the initial refraction angle was 25°, the ray hits the surface CD at an angle of incidence of 25° (measured from the normal to CD).","In Fig. 11.1, draw how the ray emerges from the side CD.","The ray should emerge from the side CD, refracting away from the normal with an angle of emergence of 41.9°. [1 mark]"
"Figure 11.2 shows the ray of light entering the same glass block (rectangular ABCD) from air. The incident ray and refracted ray inside the block are shown. This ray then travels through the glass block and strikes the internal surface BC. The angle of incidence at surface BC (measured from the normal to BC) is shown to be greater than the critical angle, as the ray is reflected internally within the glass block. Given the initial angle of refraction was 25 degrees, the angle of incidence at BC would be 90 - 25 = 65 degrees. The critical angle for glass (n=1.58) to air is arcsin(1/1.58) which is approximately 39.3 degrees.",State and explain what has happened to the ray at side BC.,The ray undergoes total internal reflection. The angle of incidence must be greater than the critical angle. [2 marks]
"Figure 12.1 shows a circuit with 3 identical resistors R1, R2 and R3, each with a resistance of 20 Ω. There is also a lamp with a resistance of 10 Ω. A 12 V battery is connected to the circuit. Switches S1 and S2 are present. For this part (a), both switches S1 and S2 are left open. When both switches are open, the circuit consists of the 12 V battery, resistor R1 (20 Ω), and the lamp (10 Ω) connected in series, as implied by the problem statement for part (a).","When both switches are left open, the current flows through R1 and the lamp only. Calculate the current through the resistor R1 and the lamp.",Current = V / R = 12 V / (10 + 20) = 0.4 A. [2 marks]
"From part (a)(i), when switches S1 and S2 are open, the current through the lamp is 0.4 A. The resistance of the lamp is 10 Ω.",Calculate the power of the lamp.,Power = Current² x R = 0.4² x 10 = 1.6 W. [2 marks]
"Figure 12.1 shows a circuit with 3 identical resistors R1, R2 and R3, each with a resistance of 20 Ω. There is also a lamp with a resistance of 10 Ω. A 12 V battery is connected to the circuit. In this part (b), switch S1 is closed (S2 remains open). The problem states that when S1 is closed, R1 and R2 are connected in parallel.","When switch S1 is closed, R1 and R2 are connected in parallel. Calculate the effective resistance of R1 and R2.",R_effective = (1/20 + 1/20)⁻¹ = 10 Ω. [2 marks]
"A vernier scale is shown. The main scale has markings at 6 cm and 7 cm, with 10 divisions between them, meaning each main scale division is 0.1 cm. The main scale reading aligns just past the 6.5 cm mark. The vernier scale has 10 divisions, and the 5th division on the vernier scale aligns perfectly with a main scale marking.","What is the reading on the vernier scale?
A 6.50 cm
B 6.55 cm
C 7.00 cm
D 7.05 cm","B. The main scale reading is 6.5 cm. The coinciding vernier scale division is the 5th mark. With a least count of 0.01 cm, the vernier scale reading is 5 * 0.01 cm = 0.05 cm. The total reading is 6.5 cm + 0.05 cm = 6.55 cm."
"A moon rover has a mass of 15 kg on Earth. The gravitational field strength on Earth is 10 N/kg, and on the Moon, it is 1.6 N/kg. The mass of an object is an intrinsic property and does not change with gravitational field strength, while weight is the force of gravity acting on an object.","What are the mass and weight of the moon rover on the Moon?

mass / kg
weight / N
A 15 24
B 15 150
C 24 15
D 24 150","A. The mass of the moon rover remains constant at 15 kg, regardless of its location. The weight of the moon rover on the Moon is calculated as mass × gravitational field strength on Moon = 15 kg × 1.6 N/kg = 24 N."
"Three objects—a hexagon, a trapezoid, and a triangle—are cut from the same sheet of metal. This means they are all made of the same material. They all have the same mass. Density is an intensive property of a material, meaning it depends only on the material's composition, not on its size or shape.","Which object has the greatest density?
A the hexagon
B the trapezoid
C the triangle
D all have the same density","D. Since all three objects are cut from the same sheet of metal, they are made of the same material. Therefore, they will all have the same density, as density is a property of the material itself."
"Electromagnetic waves encompass a spectrum of different types, including gamma rays, X-rays, ultraviolet rays, visible light, infrared, microwaves, and radio waves. All electromagnetic waves travel at a specific speed in a vacuum.","Which electromagnetic wave travels at the highest speed through a vacuum?
A gamma rays
B microwaves
C ultraviolet rays
D All electromagnetic waves travel at the same speed through a vacuum.","D. All electromagnetic waves, regardless of their frequency or wavelength (e.g., gamma rays, microwaves, ultraviolet rays), travel at the same speed in a vacuum, which is the speed of light (approximately 3 x 10^8 m/s)."
"Four objects, P, Q, R and S, are arranged in a line and in contact. Arrows indicate the direction of thermal energy travel between them. An arrow from Q points to P, indicating Q is hotter than P (T_Q > T_P). An arrow from R points to Q, indicating R is hotter than Q (T_R > T_Q). An arrow from S points to R, indicating S is hotter than R (T_S > T_R). This establishes a temperature order of S > R > Q > P.","Which statement about the temperatures of the objects is correct?
A P is colder than Q and R.
B Q is hotter than R but colder than P.
C R is the hottest object.
D S and R have the same temperature.","B. Based on the provided answer key, this option is stated as correct. However, standard interpretation of heat flow (hotter to colder) from the diagram's arrows (S>R>Q>P) would make option A correct. If Q is hotter than R (T_Q > T_R), this contradicts the arrow from R to Q. If Q is colder than P (T_Q < T_P), this contradicts the arrow from Q to P. There appears to be a discrepancy between the diagram's arrows and the provided answer choice."
"A diagram shows three rays of light (X, Y, Z) from a point P passing through a converging lens. Each point labeled F represents a principal focus of the lens. According to standard ray tracing rules for a converging lens: 1. A ray parallel to the principal axis passes through the focal point (F) after refraction. 2. A ray passing through the focal point (F) emerges parallel to the principal axis after refraction. 3. A ray passing through the optical center of the lens goes undeviated. Ray X is shown parallel to the principal axis and then passing through F on the right. Ray Z is shown passing through F on the left and then emerging parallel to the principal axis. Ray Y is shown passing through the optical center, but visually appears to have a slight upward deviation.","Which of the rays are drawn correctly?
A ray Y only
B ray Z only
C rays X and Y
D rays X and Z","C. Based on the provided answer key, rays X and Y are considered correctly drawn. Ray X (parallel to principal axis, then through F) is drawn correctly. Ray Y is intended to represent a ray passing through the optical center, which should be undeviated, although the diagram shows a slight visual deviation. Ray Z (through F, then parallel to principal axis) is also correctly drawn based on standard optics, suggesting a potential ambiguity or error in the question's options or designated correct answer."
"Two light, charged balls, P and Q, are suspended. A negatively charged plastic sheet is placed near them. Ball P is repelled by the negative sheet, and ball Q is attracted to the negative sheet. Like charges repel, and opposite charges attract. Additionally, a charged object can attract a neutral object through electrostatic induction.","What are the original charges on P and Q?

charge on P
charge on Q
A negative negative
B negative positive
C positive negative
D positive positive","B. Since ball P is repelled by the negatively charged plastic sheet, ball P must also be negatively charged (like charges repel). Since ball Q is attracted by the negatively charged plastic sheet, ball Q must be positively charged (opposite charges attract). While an uncharged object can also be attracted, among the given options, 'positive' is the most direct opposite charge."
A diagram displays electric field lines between two isolated point charges. The field lines originate from the left charge and terminate on the right charge. Electric field lines conventionally originate from positive charges and terminate on negative charges.,"Which two point charges produce this pattern?
A [Two positive charges]
B [A positive and a negative charge]
C [Two negative charges]
D [A positive and a negative charge (same as B)]","B. Electric field lines point away from positive charges and towards negative charges. In the given pattern, the field lines originate from the left charge and end on the right charge. Therefore, the left charge is positive, and the right charge is negative."
"A circuit contains a battery, a first ammeter (reading 1.0 A), and several resistors including a series resistor 'A' and three parallel branches labeled B, C, D (these labels refer to specific resistors within the parallel branches). The first ammeter is positioned in the main circuit path before any branches. If a second ammeter connected elsewhere in the circuit also reads 1.0 A, it must be measuring the total current.","The reading of the ammeter in the circuit is 1.0 A. When a second ammeter is connected to the circuit, it also reads 1.0 A. At which point, A, B, C or D is the second ammeter connected?","D. The first ammeter reads the total current of 1.0 A. If a second ammeter also reads 1.0 A, it must be located in the main circuit path, where the total current flows. In the provided diagram, points A, B, and C are within individual parallel branches, so an ammeter there would measure only a fraction of the total current. Point D is located in the main circuit path, after the parallel branches recombine but before returning to the battery, hence an ammeter placed at D would measure the total current of 1.0 A."
"Four circuit diagrams (A, B, C, D) are provided, each intended to show three lamps connected in parallel, controlled by a single switch. A parallel circuit for lamps means each lamp has its own separate path across the power supply. A single switch controlling all three lamps implies the switch is in the main circuit path.","Which student has drawn the circuit correctly?
A [Switch in series with one lamp, which is in series with a parallel pair of other lamps.]
B [Switch in series with three lamps connected in series.]
C [Switch in series with three lamps connected in parallel to each other.]
D [Switch in series, followed by one lamp in one path, and two other lamps in series in another parallel path.]","D. Based on the provided answer key, diagram D is considered correct. However, standard circuit diagram interpretation defines 'three lamps connected in parallel' as each lamp being on its own branch directly across the power supply, which is accurately represented by diagram C. Diagram D shows a switch in the main line, then one lamp in parallel with a series combination of two other lamps, which is not a direct 'three lamps in parallel' configuration."
"A rod is tested with a bar magnet. In position 1, the N-pole of a bar magnet picks up one end of the rod. In position 2, the same end (P) of the rod picks up an S-pole of a bar magnet. 'Picks up' indicates attraction. Magnetic materials (like iron and steel) are attracted to both poles of a magnet. Soft magnetic materials (like iron) are easily magnetized and demagnetized, while hard magnetic materials (like steel) retain magnetism strongly.","Which material is the rod made from and what is the pole at end P of the rod when in position 2?

material
pole at P
A iron N - pole
B iron S - pole
C steel N - pole
D steel S - pole","A. The rod attracts both the N-pole (in position 1) and the S-pole (in position 2) at the same end P by inducing an opposite pole. This behavior is characteristic of a soft magnetic material, such as iron, which can be easily magnetized and demagnetized. When the S-pole of the bar magnet is brought near end P in position 2, an N-pole is induced at end P to cause attraction."
"A current-carrying wire is placed between the poles of a horse-shoe magnet, experiencing a force due to the motor effect (Fleming's Left-Hand Rule). In the original arrangement, the current flows from left to right, and the magnetic field goes from the N-pole (top) to the S-pole (bottom), producing a force out of the plane of the diagram. Three other arrangements (P, Q, R) alter the current direction and/or magnet orientation.","Which arrangement(s) will produce a force in the same direction as the original arrangement?
A P only
B R only
C P and Q only
D P, Q and R","B. Applying Fleming's Left-Hand Rule to each arrangement:
Original: Current (right), Field (down) -> Force (out of page).
P: Magnet turned (S-top, N-bottom), so Field (up). Current (right) -> Force (into page, opposite).
Q: Current reversed (left). Magnet same (N-top, S-bottom), so Field (down) -> Force (into page, opposite).
R: Current reversed (left). Magnet turned (S-top, N-bottom), so Field (up) -> Force (out of page, same). Only arrangement R results in a force in the same direction as the original arrangement."
"A person is para-sailing and is being towed horizontally at a constant speed of 8.5 m/s. This means the net horizontal force acting on the person is zero. The forces acting are weight (W), tension (T), and drag force (D). The horizontal component of the tension T provides the forward propulsion.",State the magnitude of the drag force D.,"The problem states the person is moving at a constant horizontal speed, implying zero net horizontal force. The horizontal component of the tension T is T_x = T sin(50°) = 1600 N × sin(50°) ≈ 1225.6 N. For constant horizontal speed, the drag force D must be equal and opposite to this forward component. So D ≈ 1225.6 N. 
However, the marking scheme states: 'Drag force = resultant force [1] ecf'. If this refers to the resultant force calculated in part (a) (≈2200 N), then D would be 2200 N, which contradicts the physical equilibrium condition for constant horizontal speed."
"A cyclist on a bicycle moves forward, subject to a driving force and air resistance. When the cyclist is moving at a constant speed, the net force acting on the system (cyclist + bicycle) is zero, according to Newton's First Law.",Compare the sizes of the two horizontal forces acting on the cyclist and his bicycle when he is moving at a constant speed.,"Air resistance is equal to the driving force. When moving at a constant speed, there is no net force, so the driving force must be balanced by the opposing air resistance."
"A diagram (Fig 2.1) shows a cyclist on a bicycle. The task is to draw and label three vertical forces acting on the bicycle. Common vertical forces include the weight of the rider, the weight of the bicycle, and the normal contact force from the ground.","On Fig. 2.1, draw and label three vertical forces acting on the bicycle.","The three vertical forces correctly drawn and labelled on the diagram would typically be:
1. Weight of the cyclist (acting downwards from the cyclist's center of gravity).
2. Weight of the bicycle (acting downwards from the bicycle's center of gravity).
3. Normal force from the road on the bicycle (acting upwards from the wheels)."
A tractor uses its bucket to push a fence post into the ground. The bucket applies a downward force of 6500 N on the fence post. The area of the post in contact with the ground is 100 cm². Pressure is defined as Force divided by Area.,Calculate the pressure that the fence post exerts on the ground.,"Pressure = Force / Area (P = F/A).
Given: Force (F) = 6500 N, Area (A) = 100 cm².
P = 6500 N / 100 cm² = 65 N/cm².
(To convert to SI units: 100 cm² = 0.01 m². P = 6500 N / 0.01 m² = 650,000 Pa = 650 kPa)."
"A farmer is pushing a fence post into the ground. Initially, the post has a certain contact area. To make it easier to push, the farmer cuts the bottom of the post to make it more pointed, thus reducing its contact area with the ground while applying the same force. Pressure is inversely proportional to the area for a constant force.",A farmer cuts the bottom of the post to make it more pointed. He then uses the same force to push the post into the ground. Explain why he makes the post more pointed.,"By making the post more pointed, the farmer reduces the area of contact of the post with the ground. Since pressure = force/area, reducing the area while applying the same force results in a greater pressure being exerted on the ground. This increased pressure enables the post to be pushed into the ground more easily."
"At the end of a race, a marathon runner's body is warmer than the surrounding air. Convection is a process of heat transfer in fluids (liquids or gases) involving the movement of fluid parcels. This process is driven by density differences that arise from temperature variations.",Explain how convection currents are set up around the runner at the end of the race.,"The air molecules immediately surrounding the runner's warmer body get heated up through conduction. This heated air expands, becomes less dense, and consequently rises. Cooler, denser air from the surroundings then sinks to replace the rising warm air. This cooler air is then heated by the runner's body, rises, and the cycle repeats, establishing convection currents that continuously carry thermal energy away from the runner."
A runner wears a shiny foil blanket to prevent rapid cooling. Shiny surfaces are known for their properties related to thermal radiation. They reflect incident radiation and are poor emitters of radiation.,Explain how the shiny foil blanket is able to stop him from cooling down too quickly.,"A shiny foil blanket is a good reflector and a poor emitter of infrared radiation. It reflects the infrared radiation (heat) emitted by the runner's body back towards the runner, thereby minimizing heat loss from the body to the surroundings through radiation. It can also trap a layer of air, reducing heat loss by convection."
The center of gravity of an object is a specific point related to its mass distribution and the gravitational force acting on it.,Explain what is meant by centre of gravity.,"The centre of gravity is defined as the single point on an object where the entire weight of the object appears to act, regardless of the object's orientation."
"An object of weight 2.5 N is tilted and held in position by a force F, with its center of gravity G. It is pivoted at point P. The diagram shows G is to the right of the vertical line through P, meaning its weight creates a clockwise moment about P. If force F is removed, only the object's weight will exert a moment about P.",Describe and explain what will happen to the object when force F is removed.,"When force F is removed, the weight of the object (acting through its center of gravity G) will create an anticlockwise moment about the pivot point P, as G is to the right of the pivot in the tilted position. This moment will cause the object to rotate anticlockwise and fall back until it is stable and resting on its base, where the line of action of its weight falls within its base area."
A uniform beam is pivoted at its center. An object of 2.5 N is placed on one side at a distance of 18 cm from the pivot. A load of 1.5 N is suspended from a string on the other side at an unknown distance 'x' from the pivot. The beam is balanced.,State the principle of moments.,"The principle of moments states that for an object to be in rotational equilibrium (balanced), the sum of the clockwise moments about any pivot point must be equal to the sum of the anticlockwise moments about the same pivot point."
A uniform beam is pivoted at its center. Its center of gravity is therefore located directly at the pivot point. A moment is the product of a force and the perpendicular distance from the pivot to the line of action of the force.,Explain if the weight of the beam produce any moment about the pivot.,"No, the weight of the beam does not produce any moment about the pivot. This is because the center of gravity of the uniform beam is located at the pivot point itself, meaning the perpendicular distance from the line of action of the beam's weight to the pivot is zero. Therefore, the moment (Force × perpendicular distance) is zero."
"A circuit contains a 10 V battery, a variable resistor R, and a light bulb Q. An ammeter measures the total current, and a voltmeter measures the voltage across Q. When R is adjusted, the voltmeter reads 2.5 V across bulb Q, and the ammeter reads 0.5 A total current. In this series circuit, the current through Q is the total current.",Calculate the resistance of light bulb Q.,"Using Ohm's Law, Resistance (R) = Voltage (V) / Current (I).
For light bulb Q: V_Q = 2.5 V, I = 0.5 A.
R_Q = 2.5 V / 0.5 A = 5 Ω."
"A circuit contains a 10 V battery, a variable resistor R, and a light bulb Q in series. The total voltage of the battery is 10 V. The voltage across bulb Q is 2.5 V. The total current flowing through the series circuit is 0.5 A.",Calculate the resistance of variable resistor R.,"For components in series, the sum of voltages across them equals the total voltage. Voltage across R (V_R) = Total Voltage - V_Q = 10 V - 2.5 V = 7.5 V. The current through R is the same as the total current, I = 0.5 A. Using Ohm's Law, R_R = V_R / I = 7.5 V / 0.5 A = 15 Ω."
"In a series circuit containing a variable resistor R and a light bulb Q, the resistance of R is increased from 15 Ω to 30 Ω. The resistance of light bulb Q (5 Ω) remains unchanged. The brightness of a bulb depends on the power dissipated by it, which is related to the current flowing through it and the voltage across it (P = I²R or P = V²/R).","The resistance of the variable resistor R is now increased to 30 Ω. Assuming that the resistance of light bulb Q remains unchanged, state and explain what happens to the brightness of light bulb Q.","1.  **Effective Resistance**: The total resistance of the series circuit (R_total = R + R_Q) increases because R increases from 15 Ω to 30 Ω. The new total resistance is 30 Ω + 5 Ω = 35 Ω.
2.  **Current**: According to Ohm's Law (I = V_total / R_total), with a constant total voltage (10 V) and an increased total resistance, the total current flowing through the circuit (and thus through bulb Q) will decrease.
3.  **Potential Difference Across Bulb Q**: Since the current (I) through bulb Q decreases and its resistance (R_Q) is constant, the potential difference (V_Q = I × R_Q) across bulb Q will also decrease.
4.  **Brightness of Bulb Q**: As both the current through bulb Q and the voltage across it decrease, the power dissipated by bulb Q (P_Q = I × V_Q or I²R_Q) will decrease. Therefore, the brightness of light bulb Q will decrease."
"A circuit diagram (Fig 12.2) shows a configuration of light bulbs Q, A (10.0 Ω), and B (4.5 Ω) with four switches S1, S2, S3, S4. The general structure is: from X, one path goes to (Q and S1 in series). Another path goes to (S2 in series with a parallel combination of (A and S3 in series) and (B and S4 in parallel to B's terminals)). All paths then lead to Y.",Calculate the effective resistance between X and Y when S1 and S3 are closed.,"When S1 and S3 are closed, S2 and S4 are assumed to be open. Following the paths in Fig 12.2, if S1 is closed, Bulb Q (resistance 5 Ω from 12a(i)) is active. If S2 is open (as it's not specified as closed), then the entire lower branch containing Bulbs A and B is open, regardless of S3 or S4. Therefore, the effective resistance between X and Y should simply be the resistance of Bulb Q, which is 5 Ω.

However, the provided marking scheme's calculation is: 'Effective resistance in parallel = (1/5 + 1/10)⁻¹ = 3.33 Ω [1] ecf from (a)(i) Effective resistance between X and Y = (3.33 + 4.5 )Ω = 7.83 Ω [1] ecf'. This calculation implies a circuit configuration where Q (5Ω) is in parallel with A (10Ω), and this combined parallel resistance (3.33Ω) is then in series with B (4.5Ω), which does not match the visual arrangement of Fig 12.2."
"The graph illustrates how the distance traveled by a motorcycle changes with time. The x-axis represents time, and the y-axis represents distance. The curve starts at the origin (0,0). In the region labeled P, the slope of the curve is gradually increasing, indicating increasing speed or acceleration. In the region labeled Q, the slope is steep and positive, indicating a high constant speed. In the region labeled R, the slope is decreasing, indicating the motorcycle is slowing down or decelerating. In the region labeled S, the graph becomes a horizontal line, indicating that the distance traveled is no longer changing, meaning the motorcycle is at rest.","Which statement is correct?
A at P, the motorcycle is decelerating
B at Q, the motorcycle has constant acceleration
C at R, the motorcycle is slowing down
D at S, the motorcycle has constant speed","C. At R, the slope of the distance-time graph is decreasing, which indicates that the motorcycle is slowing down. At S, the horizontal line means the distance is constant, indicating the motorcycle is at rest."
The diagram shows a car wheel accelerating to the right. The wheel is rotating such that its bottom part moves to the left relative to the car's frame. Point 'C' is the contact point between the wheel and the road surface. An arrow labeled 'B' points horizontally to the left from C. An arrow labeled 'D' points horizontally to the right from C. An arrow labeled 'C' points vertically downwards from the wheel's center to the road contact point.,"In which direction does the frictional force between the wheel and the road surface act?
A
B
C
D","D. The wheel rotates clockwise. For the car to accelerate to the right, the wheel pushes the road surface to the left. By Newton's third law, the road surface exerts a frictional force on the wheel to the right (in the direction of acceleration). Therefore, friction acts in direction D."
